AS17-M-0217.lev1.cub, APOLLO17/METRIC/1972-12-10T22:03:59.000, -1475421.46897, 1083201.24252, -140613.387338
AS17-M-0218.lev1.cub, APOLLO17/METRIC/1972-12-10T22:04:24.000, -1452683.61341, 1116134.66998, -126416.091907
AS17-M-0219.lev1.cub, APOLLO17/METRIC/1972-12-10T22:04:49.000, -1429266.78803, 1148525.00273, -112308.995075
AS17-M-0220.lev1.cub, APOLLO17/METRIC/1972-12-10T22:05:15.000, -1405099.67013, 1180315.90986, -98080.5783222
AS17-M-0221.lev1.cub, APOLLO17/METRIC/1972-12-10T22:05:40.000, -1380236.22413, 1211506.03629, -83813.2757813
AS17-M-0222.lev1.cub, APOLLO17/METRIC/1972-12-10T22:06:05.000, -1354678.01965, 1242090.79859, -69497.2469236
AS17-M-0223.lev1.cub, APOLLO17/METRIC/1972-12-10T22:06:30.000, -1328414.5553, 1272071.66459, -55145.9778978
AS17-M-0224.lev1.cub, APOLLO17/METRIC/1972-12-10T22:06:55.000, -1301502.17582, 1301389.74818, -40783.6417605
AS17-M-0225.lev1.cub, APOLLO17/METRIC/1972-12-10T22:07:21.000, -1273893.90465, 1330076.98009, -26348.3597194
AS17-M-0226.lev1.cub, APOLLO17/METRIC/1972-12-10T22:07:46.000, -1245682.13481, 1358067.31381, -11932.5166385
AS17-M-0227.lev1.cub, APOLLO17/METRIC/1972-12-10T22:08:11.000, -1216811.21189, 1385398.09509, 2503.4649574
AS17-M-0228.lev1.cub, APOLLO17/METRIC/1972-12-10T22:08:36.000, -1187400.70144, 1411991.49002, 16903.8889432
AS17-M-0229.lev1.cub, APOLLO17/METRIC/1972-12-10T22:09:02.000, -1157327.4863, 1437928.13726, 31324.4478018
AS17-M-0230.lev1.cub, APOLLO17/METRIC/1972-12-10T22:09:52.356, -1095068.27573, 1487952.95829, 60301.9939588
AS17-M-0231.lev1.cub, APOLLO17/METRIC/1972-12-10T22:09:52.000, -1095520.07993, 1487614.51955, 60097.6543607
AS17-M-0232.lev1.cub, APOLLO17/METRIC/1972-12-10T22:10:17.000, -1063776.33985, 1511360.6085, 74446.6764179
AS17-M-0233.lev1.cub, APOLLO17/METRIC/1972-12-10T22:10:43.000, -1031491.43976, 1534358.12911, 88756.621991
AS17-M-0234.lev1.cub, APOLLO17/METRIC/1972-12-10T22:11:08.000, -998658.941955, 1556480.40779, 103299.675976
AS17-M-0235.lev1.cub, APOLLO17/METRIC/1972-12-10T22:11:33.000, -965476.054413, 1578028.27386, 117228.250784
AS17-M-0236.lev1.cub, APOLLO17/METRIC/1972-12-10T22:11:58.000, -931723.132025, 1598728.56454, 131370.895345
AS17-M-0237.lev1.cub, APOLLO17/METRIC/1972-12-10T22:12:23.000, -897515.184538, 1618618.8542, 145490.025966
AS17-M-0238.lev1.cub, APOLLO17/METRIC/1972-12-10T22:12:49.000, -862884.320893, 1637727.13408, 159484.726645
AS17-M-0239.lev1.cub, APOLLO17/METRIC/1972-12-10T22:13:14.000, -827793.341737, 1656025.86454, 173464.512029
AS17-M-0240.lev1.cub, APOLLO17/METRIC/1972-12-10T22:13:39.000, -792313.20727, 1673528.63156, 187324.525458
AS17-M-0241.lev1.cub, APOLLO17/METRIC/1972-12-10T22:14:04.000, -756431.334447, 1690220.71082, 201110.628962
AS17-M-0242.lev1.cub, APOLLO17/METRIC/1972-12-10T22:14:30.000, -720060.985778, 1705893.43361, 215308.926633
AS17-M-0243.lev1.cub, APOLLO17/METRIC/1972-12-10T22:14:55.000, -683682.658905, 1721169.41939, 228143.4381
AS17-M-0244.lev1.cub, APOLLO17/METRIC/1972-12-10T22:15:20.000, -646730.002456, 1735295.82973, 241812.304033
AS17-M-0245.lev1.cub, APOLLO17/METRIC/1972-12-10T22:15:45.000, -609457.267269, 1748671.08383, 255177.906224
AS17-M-0246.lev1.cub, APOLLO17/METRIC/1972-12-10T22:16:11.000, -571970.536354, 1761185.41666, 268388.589687
AS17-M-0247.lev1.cub, APOLLO17/METRIC/1972-12-10T22:16:36.000, -534125.418795, 1772883.99686, 281502.148014
AS17-M-0248.lev1.cub, APOLLO17/METRIC/1972-12-10T22:17:01.000, -496070.836415, 1783703.6339, 294466.40283
AS17-M-0249.lev1.cub, APOLLO17/METRIC/1972-12-10T22:17:51.864, -419456.669539, 1802767.26933, 319913.179519
AS17-M-0250.lev1.cub, APOLLO17/METRIC/1972-12-10T22:17:52.000, -419251.814985, 1802818.2119, 319981.218509
AS17-M-0251.lev1.cub, APOLLO17/METRIC/1972-12-10T22:18:17.000, -380542.405908, 1811092.35491, 332496.145814
AS17-M-0252.lev1.cub, APOLLO17/METRIC/1972-12-10T22:18:42.000, -341625.686606, 1818476.66373, 344956.447548
AS17-M-0253.lev1.cub, APOLLO17/METRIC/1972-12-10T22:19:07.000, -302583.570962, 1825062.41716, 357099.091248
AS17-M-0254.lev1.cub, APOLLO17/METRIC/1972-12-10T22:19:33.000, -263348.135573, 1830750.98086, 369200.755941
AS17-M-0255.lev1.cub, APOLLO17/METRIC/1972-12-10T22:19:58.000, -224027.89606, 1835591.02109, 381076.680902
AS17-M-0256.lev1.cub, APOLLO17/METRIC/1972-12-10T22:20:23.000, -184585.753923, 1839578.59701, 392781.890126
AS17-M-0257.lev1.cub, APOLLO17/METRIC/1972-12-10T22:20:48.000, -145063.966781, 1842715.20424, 404252.617046
AS17-M-0258.lev1.cub, APOLLO17/METRIC/1972-12-10T22:21:13.000, -106677.832307, 1844940.65697, 415217.837136
AS17-M-0259.lev1.cub, APOLLO17/METRIC/1972-12-10T22:21:39.000, -65687.5924994, 1846414.70748, 426762.643393
AS17-M-0260.lev1.cub, APOLLO17/METRIC/1972-12-10T22:22:04.000, -25970.5480488, 1846978.71516, 437709.597862
AS17-M-0261.lev1.cub, APOLLO17/METRIC/1972-12-10T22:22:30.000, 13768.6569818, 1846690.97669, 448461.338692
AS17-M-0262.lev1.cub, APOLLO17/METRIC/1972-12-10T22:22:55.000, 53510.5403092, 1845546.69419, 459040.094124
AS17-M-0263.lev1.cub, APOLLO17/METRIC/1972-12-10T22:23:20.000, 93205.7756499, 1843563.46596, 469358.807857
AS17-M-0264.lev1.cub, APOLLO17/METRIC/1972-12-10T22:23:45.000, 132916.392966, 1840731.46386, 479526.783128
AS17-M-0265.lev1.cub, APOLLO17/METRIC/1972-12-10T22:24:11.000, 172520.597652, 1837060.80225, 489442.365027
AS17-M-0266.lev1.cub, APOLLO17/METRIC/1972-12-10T22:25:01.614, 252444.979273, 1827089.28731, 508824.491365
AS17-M-0267.lev1.cub, APOLLO17/METRIC/1972-12-10T22:25:01.000, 251516.017587, 1827234.19752, 508606.067615
AS17-M-0268.lev1.cub, APOLLO17/METRIC/1972-12-10T22:25:27.000, 290834.815545, 1821084.83576, 517847.931748
AS17-M-0269.lev1.cub, APOLLO17/METRIC/1972-12-10T22:25:52.000, 330007.72723, 1814118.00209, 526862.114289
AS17-M-0270.lev1.cub, APOLLO17/METRIC/1972-12-10T22:26:17.000, 369165.053242, 1806250.57651, 535880.822306
AS17-M-0271.lev1.cub, APOLLO17/METRIC/1972-12-10T22:26:43.000, 407967.257049, 1797740.10699, 544203.748794
AS17-M-0272.lev1.cub, APOLLO17/METRIC/1972-12-10T22:27:08.000, 446678.389731, 1788365.35025, 552442.033421
AS17-M-0273.lev1.cub, APOLLO17/METRIC/1972-12-10T22:27:33.000, 485140.360359, 1778183.63136, 560530.766363
AS17-M-0274.lev1.cub, APOLLO17/METRIC/1972-12-10T22:27:58.000, 523445.565726, 1767231.19634, 568281.10895
AS17-M-0275.lev1.cub, APOLLO17/METRIC/1972-12-10T22:28:49.327, 599843.786529, 1742785.49053, 583280.717727
AS17-M-0276.lev1.cub, APOLLO17/METRIC/1972-12-10T22:28:49.000, 599351.782896, 1742959.49013, 583186.55327
AS17-M-0277.lev1.cub, APOLLO17/METRIC/1972-12-10T22:29:14.000, 636974.001924, 1729626.59456, 590383.536089
AS17-M-0278.lev1.cub, APOLLO17/METRIC/1972-12-10T22:29:40.000, 674247.829024, 1715617.43158, 597111.060685
