AS17-M-0214.lev1.cub,APOLLO17/METRIC/1972-12-10T22:02:43.431,-1538780.0727,  981211.5434,-182926.6788,0.66301
AS17-M-0215.lev1.cub,APOLLO17/METRIC/1972-12-10T22:03:08.660,-1518354.1184, 1015765.4873,  -169027.31,0.66187
AS17-M-0216.lev1.cub,APOLLO17/METRIC/1972-12-10T22:03:33.869,-1497173.6571,  1049775.132,-155053.4807,0.66187
AS17-M-0217.lev1.cub,APOLLO17/METRIC/1972-12-10T22:03:59.073,-1475237.7507, 1083246.0147,-141003.6001,0.66744
AS17-M-0218.lev1.cub,APOLLO17/METRIC/1972-12-10T22:04:24.313,-1452520.6809, 1116215.6132,-126861.6211,0.67557
AS17-M-0219.lev1.cub,APOLLO17/METRIC/1972-12-10T22:04:49.514,-1429102.5452, 1148569.3636,-112677.0009,0.67631
AS17-M-0220.lev1.cub,APOLLO17/METRIC/1972-12-10T22:05:14.730,-1404947.8074, 1180359.9944,-98427.33879,0.67398
AS17-M-0221.lev1.cub,APOLLO17/METRIC/1972-12-10T22:05:39.936,-1380092.1179, 1211542.1269,-84133.29458,0.67202
AS17-M-0222.lev1.cub,APOLLO17/METRIC/1972-12-10T22:06:05.144,-1354536.7789,  1242116.773,-69794.97922,0.66828
AS17-M-0223.lev1.cub,APOLLO17/METRIC/1972-12-10T22:06:30.371,-1328280.2859, 1272085.9928,-55411.48589,0.66452
AS17-M-0224.lev1.cub,APOLLO17/METRIC/1972-12-10T22:06:55.577,-1301376.2323, 1301390.8547,-41011.63337,0.66456
AS17-M-0225.lev1.cub,APOLLO17/METRIC/1972-12-10T22:07:20.821,-1273777.3618, 1330083.4742,-26569.97382,0.66997
AS17-M-0226.lev1.cub,APOLLO17/METRIC/1972-12-10T22:07:46.032,-1245574.9991, 1358070.6106,-12133.88408,0.67838
AS17-M-0227.lev1.cub,APOLLO17/METRIC/1972-12-10T22:08:11.268,-1216719.2701, 1385404.4005, 2322.802427,0.68644
AS17-M-0228.lev1.cub,APOLLO17/METRIC/1972-12-10T22:08:36.453,-1187315.2321, 1411989.4293, 16748.44102,0.69211
AS17-M-0229.lev1.cub,APOLLO17/METRIC/1972-12-10T22:09:01.691,-1157254.3635, 1437925.7829,   31196.747, 0.6966
AS17-M-0230.lev1.cub,APOLLO17/METRIC/1972-12-10T22:09:52.178,-1095402.7511, 1487641.3138, 60044.85716,0.70185
